parkName,stateAbbrev,stateName,totalDeferredMaintenance2019,totalDeferredMaintenance2018,totalDeferredMaintenance2017,totalDeferredMaintenance2016,totalDeferredMaintenance2015
Acadia National Park,ME,Maine,92644120.86,65829758.16,59858098.61,71029340.7,68250049.04
Arches National Park,UT,Utah,11182712.19,24399380.7,25648543.32,24678597.64,19886458.94
Badlands National Park,SD,South Dakota,33811635.54,33453532.47,26514500.58,25869135.5,17498477.9
Big Bend National Park,TX,Texas,124438101.9,89657789.94,100421335.3,89480405.26,86815056.71
Biscayne National Park,FL,Florida,1416475.091,1480962.357,12527745.55,12069391,9849278.976
Black Canyon of the Gunnison National Park,CO,Colorado,5031186.477,7790635.909,6508999.12,6745170.789,6514685.916
Bryce Canyon National Park,UT,Utah,26376095.28,25787576.66,27126866.6,27478962.82,37111153.43
Canyonlands National Park,UT,Utah,24187570.5,21005442.92,40671343.95,45179990.5,43144249.82
Capitol Reef National Park,UT,Utah,11415258.95,8977333.906,8379815.685,7738003.734,3836949.19
Carlsbad Caverns National Park,NM,New Mexico,39708808.36,39868411.65,46819347.65,44044498.95,44411003.07
Channel Islands National Park,CA,California,11908599.55,11268023.62,13692363.82,13453019.38,16702721.73
Congaree National Park,SC,South Carolina,8031958.955,6832408.034,3803872.649,3907896.207,4270067.851
Crater Lake National Park,OR,Oregon,142814506.5,100440129,94080987.97,85318818.13,83979593.58
Cuyahoga Valley National Park,OH,Ohio,55967201.28,51863771.46,45813356.39,44387747.34,40824920.07
Death Valley National Park,Total,Total,153205891.6,128869756.3,139335915.2,140121726.3,0
Denali National Park and Preserve,AK,Alaska,61373701.94,51784799.83,54733275.37,50336451.13,52628328.74
Dry Tortugas National Park,FL,Florida,30937411.36,62868146.95,60259376.99,58828779.16,56336687.99
Everglades National Park,FL,Florida,88648654.49,74724664.25,90906801.86,78190173.58,78218847.68
Gates of the Arctic National Park and Preserve,AK,Alaska,919268.86,922236.1,944371.77,832622.57,928026.61
Great Sand Dunes National Park and Preserve,CO,Colorado,8437838.129,8069390.129,10396934.13,8868083.684,8032789.254
Glacier Bay National Park and Preserve,AK,Alaska,17664216.87,13009732.15,9442527.78,13716151.55,11310667.61
Glacier National Park,MT,Montana,179273366.5,131189893.6,153838276,148262903.2,179807896.8
Grand Canyon National Park,AZ,Arizona,314444838.6,313866912.6,329437053.8,353354523.8,371589415.2
Grand Teton National Park,WY,Wyoming,166881527.1,181005620.9,178630524.7,190800484.5,207816744.3
Great Basin National Park,NV,Nevada,17867376.71,14925849.45,17450741.12,16945076.24,16942598.92
Great Smoky Mountains National Park,Total,Total,202014159.4,235895972.7,215451902.1,211192042,232283727.4
Guadalupe Mountains National Park,TX,Texas,7940150.057,5865024.421,6411208.105,5503664.412,5533476.34
Haleakala National Park,HI,Hawaii,26014699.23,24382236.31,21107901.62,22384766.31,22331454.2
Hawaii Volcanoes National Park,HI,Hawaii,107336432.9,92735494.03,85545253.57,76214949.36,78932237.43
Hot Springs National Park,AR,Arkansas,14158542.95,14939420.44,12360491.16,19960757.51,19595323.08
Indiana Dunes National Park,IN,Indiana,28333844.98,27797754.55,26556235.84,25394949.83,27110696.64
Isle Royale National Park,MI,Michigan,12514386.59,17881876.68,17676294.17,14877294.24,15470123.56
Gateway Arch National Park,Total,Total,31260655.9,24551305.93,24446749.24,25846163.66,0
Joshua Tree National Park,CA,California,44380237.93,65923906.77,46796158.68,35494526.33,60715374.49
Katmai National Park and Preserve,AK,Alaska,7872323.5,9910310.224,9138087.8,9292783.938,12003876.46
Kenai Fjords National Park,AK,Alaska,1742049.046,1678524.496,1756716.512,2445318.885,4148151.11
Lake Clark National Park and Preserve,AK,Alaska,3331116.84,1882239.692,1444822.512,2100013.482,1584185.312
Lassen Volcanic National Park,CA,California,41384974.72,33426800.71,22448749.77,21446177.99,23818372.55
Mammoth Cave National Park,KY,Kentucky,118411234.8,92411480.74,78043316.12,94505148.76,82111316.82
Mesa Verde National Park,CO,Colorado,68345103.5,76307054.68,70749005.37,65733321.27,56939227.4
Mount Rainier National Park,WA,Washington,208753022.5,186278439.8,175819974.9,152128455.2,285391146.2
National Park of American Samoa,AS,American Samoa,1656843.706,1353626.016,956927.516,819076.8285,922729.8685
New River Gorge National River,WV,West Virginia,17816393.21,21079427.55,21318668.18,22295247.76,17839450.59
North Cascades National Park,WA,Washington,24807949.83,22526305.14,18826842.19,26273465.56,21840957.41
Olympic National Park,WA,Washington,122829260,126501263,120719515.4,152227793.5,139821329.5
Petrified Forest National Park,AZ,Arizona,68245961.48,47989929.19,43991502.19,46888756.21,55692239.77
Pinnacles National Park,CA,California,19360187.31,10648600.84,9431253.076,9815737.468,10172434.68
Redwood National Park,CA,California,24748883.71,23635118.53,21965285.26,28144419.35,28913882.86
Rocky Mountain National Park,CO,Colorado,78044936.38,84100769.64,84234244.62,75073266.11,62761290.18
Saguaro National Park,AZ,Arizona,23327265.64,21601752.34,19971912.49,21677274.87,12869043.15
Sequoia and Kings Canyon National Park,CA,California,200947529.3,169994705.1,176564467.9,145379039,160357480.9
Shenandoah National Park,VA,Virginia,70945483.89,88765194.94,79208620.88,75679764.19,90205606.62
Theodore Roosevelt National Park,ND,North Dakota,52234057.38,46798219.88,49334370.47,52270276.84,40702377.41
Virgin Islands National Park,VI,Virgin Islands,25469463.05,33299680.12,26553028.72,16817535.62,14218296.41
Voyageurs National Park,MN,Minnesota,13447127.6,9843565.165,14875388.2,17341696.23,15965764.47
Western Arctic National Parklands,AK,Alaska,915408.11,443808.68,401099.97,269034.95,365942.06
White Sands National Park,NM,New Mexico,6403635.949,3114554.515,2580077.149,1862954.67,3222333.626
Wind Cave National Park,SD,South Dakota,20579059.13,16485191.71,20428419.08,16385254.49,12846435.11
Wrangell St Elias National Park,AK,Alaska,16068557.17,16980268.95,17037882.28,19271905.74,19403782.83
Yellowstone National Park,Total,Total,740613125.6,585548997.1,515808707.4,663268388.6,631679666.2
Yosemite National Park,CA,California,643020990.4,645657600.6,582670827.4,555086179,555015819.4
Zion National Park,UT,Utah,68195935.3,67552651.35,65291892.99,70044814.77,69848826.76
Kobuk Valley National Park,AK,Alaska,915408.11,443808.68,401099.97,269034.95,365942.06
