Park Name,Location,Visitors(2022)
Acadia,Maine,3970260
American Samoa,American Samoa,1887
Arches,Utah,1460652
Badlands,South Dakota,1006809
Big Bend,Texas,514107
Biscayne,Florida,701023
Black Canyon of the Gunnison,Colorado,297257
Bryce Canyon,Utah,2354660
Canyonlands,Utah,779147
Capitol Reef,Utah,1227608
Carlsbad Caverns,New Mexico,390932
Channel Islands,California,323245
Congaree,South Carolina,204522
Crater Lake,Oregon,527259
Cuyahoga Valley,Ohio,2913312
Death Valley,California,1128862
Denali,Alaska,427562
Dry Tortugas,Florida,78488
Everglades,Florida,1155193
Gates of the Arctic,Alaska,9457
Gateway Arch,Missouri,1618774
Glacier,Montana,2908458
Glacier Bay,Alaska,545758
Grand Canyon,Arizona,4732101
Grand Teton,Wyoming,2806223
Great Basin,Nevada,142115
Great Sand Dunes,Colorado,493428
Great Smoky Mountains,North Carolina,12937633
Guadalupe Mountains,Texas,219987
Haleakalā,Hawaii,1087616
Hawaiʻi Volcanoes,Hawaii,1580961
Hot Springs,Arkansas,2646133
Indiana Dunes,Indiana,2834180
Isle Royale,Michigan,25454
Joshua Tree,California,3058294
Katmai,Alaska,33908
Kenai Fjords,Alaska,389943
Kings Canyon,California,640986
Kobuk Valley,Alaska,16925
Lake Clark,Alaska,18187
Lassen Volcanic,California,446291
Mammoth Cave,Kentucky,663147
Mesa Verde,Colorado,499790
Mount Rainier,Washington,1622395
New River Gorge,West Virginia,1593523
North Cascades,Washington,30154
Olympic,Washington,2432972
Petrified Forest,Arizona,505209
Pinnacles,California,275023
Redwood,California,458400
Rocky Mountain,Colorado,4300424
Saguaro,Arizona,908194
Sequoia,California,1153198
Shenandoah,Virginia,1449300
Theodore Roosevelt,North Dakota,668679
Virgin Islands,U.S. Virgin Islands,196752
Voyageurs,Minnesota,221434
White Sands,New Mexico,705127
Wind Cave,South Dakota,607418
Wrangell–St. Elias,Alaska,65236
Yellowstone,Wyoming,3290242
Yosemite,California,3667550
Zion,Utah,4692417
